IdGSA;NombreGSA;Descripcion;FaoArea;FaoSubarea;FaoDivision;Geometry
1;GSA01;Northern Alboran Sea;37;37.1;37.1.1;POLYGON ((-1.0512086517304624 37.62359935899849, -1.0003613440092636 37.623220307123233, -1.000044174017944 37.589280984984441, -1.000000018055232 37.584556000000021, -1 37.584554067970714, -1 36.5, -1.5 36.5, -1.5 36.000000000000114, -2.6666667461395264 36.000000000000114, -2.6666667461395264 36.083332061767578, -3.3333332538604736 36.083332061767578, -3.3333332538604736 36.000000000000114, -5.5999999046325684 36.000000000000114, -5.5999999046325684 36.011236932838358, -5.599965945302813 36.011236829111908, -5.60011949404668 36.036717174214573, -5.4673455699214628 36.088827370242313, -5.4669886507705883 36.170561855792528, -5.3891802758799372 36.219816698613272, -5.3160118499506552 36.282634469167249, -5.2802842429481416 36.397348284258328, -5.2224633405063514 36.468018276131318, -4.9147990324526063 36.567955638376191, -4.9113837857856311 36.563235378755337, -4.4630345658856072 36.78591426651036, -4.3940301967165283 36.819226720591985, -2.8473805429268282 36.852539174673609, -2.2406179864400997 36.928681926860179, -1.686203572081638 37.47833741920698, -1.4601547765277587 37.623484540562629, -1.207915291452025 37.62359935899849, -1.0512086517304624 37.62359935899849))
2;GSA02;Alboran Island;37;37.1;37.1.1;POLYGON ((-2.6666667461395264 36.083332061767578, -2.6666667461395264 35.75, -3.3333332538604736 35.75, -3.3333332538604736 36.083332061767578, -2.6666667461395264 36.083332061767578))
3;GSA03;Southern Alboran Sea;37;37.1;37.1.1;POLYGON ((-5.2505647806005413 35.371925596029996, -5.3648321435515527 35.541785840176829, -5.4426234532955959 35.770492290824393, -5.5997618989786133 35.770492290824393, -5.5999999046325684 35.832919012545233, -5.5999999046325684 36.000000000000114, -3.3333332538604736 36.000000000000114, -3.3333332538604736 35.75, -2.6666667461395264 35.75, -2.6666667461395264 36.000000000000114, -2.2166666984556969 36.000000000000114, -2.2117883974044616 35.085231168014957, -2.2128604656897437 34.958620722434489, -2.2575125428889464 34.968912886242435, -2.942072143499729 35.107964055116611, -3.7586427299449383 35.107805424382832, -4.7508779693761767 35.107805424382832, -5.2505647806005413 35.371925596029996))
4;GSA04;Algeria;37;37.1;37.1.1;POLYGON ((-2.2117883974044048 35.085231168014957, -2.2166667004447618 35.999999992219159, -1.5000000081537905 35.999999992219159, -1.5000000081537905 36.499999995394433, -0.999999999575266 36.499999995394433, -0.999999999575266 37.000000003973071, 0.4999999991440518 37.000000003973071, 0.4999999991440518 37.99999999411358, 8.4999999669976773 37.999999988008426, 8.6423214633072121 36.941032742478626, 8.6585815165950066 36.871809360418695, 8.2474304269231311 36.743409667146125, 5.1184392042562763 36.493566261533942, 3.6193787705831824 36.612539311825458, 0.89489591890747988 36.148544415688548, 0.83374495668414284 36.145826595145365, -0.2710399739494278 35.529884554172668, -0.79452139523209553 35.482295334056062, -1.6511273573310064 34.958813912773394, -2.2128604656897437 34.958620722434489, -2.2117883974044048 35.085231168014957))
5;GSA05;Balearic Islands;37;37.1;37.1.1;POLYGON ((6.0000000000000568 40.500000000000114, 6.0000000000000568 38.000000000000057, 0.50000000000005684 38.000000000000057, 0.50000000000005684 39.500000000000114, 1.5000000000000568 39.500000000000114, 1.5000000000000568 40, 2.0000000000001137 40, 2.0000000000001137 40.500000000000114, 6.0000000000000568 40.500000000000114))
6;GSA06;Northern Spain;37;37.1;37.1.1;POLYGON ((-0.91829730777953955 37.77188273477276, -0.55214026929081683 40.090877311868326, -0.55201650576259453 40.108823023467153, -0.35427193684728309 40.332933534904555, -0.19329233642304189 40.515377082051884, 0.0058205974310681086 40.741038407086592, 0.17036729743171009 40.881207818198277, 0.60570356545832738 41.319143108720425, 2.3230748078031525 42.314806024522341, 3.0162778793565508 42.458957917747853, 3.1623314575954282 42.4294704575953, 3.940106389057064 42.252704609265379, 4.7202129428999342 42.075405115057777, 6.0000000034243044 41.784546387125772, 6.0000000034243044 40.500000006014147, 1.9999999945406444 40.500000006014147, 1.9999999945406444 39.999999998789463, 1.50000001177267 39.999999998789463, 1.50000001177267 39.499999991564891, 0.49999999732347078 39.499999991564891, 0.49999999732347078 37.000000004355, -0.99999999989375965 37.000000004355, -0.99999999989375965 37.584554067970714, -1.0000654613236293 37.591558869860364, -1.0003613440092636 37.623220307123233, -0.91829730777953955 37.77188273477276))
7;GSA07;Gulf of Lion;37;37.1;37.1.2;POLYGON ((5.9920927365290027 43.2495572508962, 6.89628791874452 43.630271011829052, 7.49436629804768 43.943209689999378, 7.5290686681672128 43.787805275423409, 7.5299680423803466 43.784138595939282, 7.6277548997920235 43.249999996836209, 8.00000000786605 41.330001838738156, 7.0605320904366522 41.543518077629756, 4.7202129426757438 42.075405114790954, 3.9401063906147442 42.252704608591046, 3.1625580438769134 42.429418961037868, 3.1392627381645752 42.434127912436111, 3.0162778793565508 42.458957917747853, 2.8377855298861618 42.84775354464773, 3.11294491947433 43.297146471012809, 3.7791940011068164 43.701654842003961, 4.3026754223894841 43.713552147033113, 5.9920927365290027 43.2495572508962))
8;GSA08;Corsica Island;37;37.1;37.1.3;POLYGON ((9.750000008695622 43.249999996836209, 9.750000008695622 41.299999234963423, 9.3828731438509863 41.299999234963423, 9.38244400000002 41.300417000000039, 9.38166700000005 41.300417000000039, 9.3803890000000365 41.301611000000094, 9.3803890000000365 41.30247200000008, 9.3795560000000364 41.303333000000123, 9.3795830000001388 41.304139000000021, 9.3787500000001387 41.304943999999978, 9.3787500000001387 41.307472000000075, 9.3783059999999523 41.307861000000116, 9.3766390000000683 41.307861000000116, 9.3754170000000272 41.306667000000061, 9.3754170000000272 41.305806000000075, 9.3749440000001414 41.305417000000034, 9.3741940000001023 41.305417000000034, 9.3732780000001412 41.304556000000048, 9.3724440000000868 41.304556000000048, 9.3712220000000457 41.303306000000021, 9.3712220000000457 41.302500000000123, 9.3700000000000045 41.301194000000066, 9.36833300000012 41.301194000000066, 9.36750000000012 41.302055999999936, 9.3650000000000091 41.302083000000039, 9.3645280000000639 41.301667000000123, 9.364610999999968 41.30080600000008, 9.3637527592360357 41.299999234963423, 9.3537642187598635 41.299999234963423, 9.3537779999999771 41.300833000000011, 9.3533060000000319 41.301250000000039, 9.35247199999992 41.301250000000039, 9.3511940000000777 41.302444000000094, 9.3511940000000777 41.303306000000021, 9.3508330000000228 41.303721999999937, 9.3491390000000365 41.303721999999937, 9.3483060000000364 41.302916999999979, 9.3478609999999662 41.303333000000123, 9.3478609999999662 41.304972000000021, 9.3475000000001387 41.305389000000048, 9.3466670000001386 41.305389000000048, 9.3449720000000411 41.303721999999937, 9.3446110000000431 41.304139000000021, 9.3446110000000431 41.305860999999993, 9.344167000000084 41.306250000000034, 9.3433329999999728 41.306250000000034, 9.3416389999999865 41.307916999999975, 9.3408330000000888 41.3070560000001, 9.3391670000000886 41.3087220000001, 9.3383329999999773 41.3087220000001, 9.3374170000000731 41.309528, 9.3366669999999772 41.3087220000001, 9.3350000000000932 41.308750000000146, 9.3336940000000368 41.307472000000075, 9.3336940000000368 41.306639000000075, 9.33330600000005 41.306222000000048, 9.3324719999999957 41.306222000000048, 9.3312500000001251 41.304972000000021, 9.3320830000001251 41.304167000000007, 9.3320830000001251 41.303306000000021, 9.330417000000125 41.301667000000123, 9.3303890000001388 41.30080600000008, 9.33077800000001 41.300389000000052, 9.33502800000008 41.300389000000052, 9.335777999999948 41.301250000000039, 9.336610999999948 41.301250000000039, 9.3378617650365641 41.299999234963423, 8.00000000786605 41.299999234963423, 8.00000000786605 41.330001837575196, 7.6277548997920235 43.249999996836209, 9.750000008695622 43.249999996836209))
9;GSA09;Ligurian and North Tirrenian Sea;37;37.1;37.1.3;POLYGON ((12.421969797184033 42.079359763504669, 13.022949593774229 41.485726400056478, 13.023060678218997 41.303417507119264, 13.00458126990253 41.299999234963423, 9.750000008695622 41.299999234963423, 9.750000008695622 43.249999996836209, 7.6277548997920235 43.249999996836209, 7.5299680423803466 43.784138595939282, 7.5287919376401646 43.788981380163591, 7.4950514037588505 43.939662102324576, 8.6663871763151974 44.617203642535571, 10.126781368643549 44.209720945287131, 10.209071061761847 44.24466927881025, 12.421969797184033 42.079359763504669))
10;GSA10;South Tirrenian Sea;37;37.1;37.1.3;MULTIPOLYGON (((13.868476275493599 37.891482540196385, 14.67925138775872 37.953976362236986, 15.280779130032563 38.087226178563476, 15.558700175513531 38.254740233374051, 15.565527697264665 38.262370992978283, 15.646667000000035 38.264556000000042, 15.65096094935382 38.264482578881264, 15.651597249130937 38.2644640971451, 15.656456203323721 38.263935858731045, 15.749957627911616 38.257874610058273, 15.750929194480186 38.257870949716015, 15.842201217137987 38.2290313240601, 15.882176162036108 38.215825315477751, 16.182996923489782 38.5979489854325, 16.267778669945582 38.70564471741671, 16.315855703411394 38.970068401478912, 15.90182948839691 39.976580406945118, 15.730508295977138 40.112209684277445, 15.100117691702392 40.4575646546636, 14.913763282353155 40.661083285926622, 14.669730893850778 40.747478465061143, 14.609024654713544 40.768970392575454, 14.430537364661859 40.851603397229042, 14.077901243597758 40.972955908526394, 13.790938246294509 41.285617084692547, 13.649598262548318 41.358428591470904, 13.286968405259715 41.375560710712882, 13.139917715099457 41.332730412607923, 13.023060678219014 41.303417507119256, 13.004583000000039 41.299943999999989, 13.004581262801393 41.299999461676293, 11.000000077583392 41.299999236287363, 11.000000077583392 38.000000000778833, 12.31791700077822 38.000000000778833, 12.321055581562316 38.000000643499916, 12.325382242832992 38.006720424651704, 12.329786982556882 38.010043298478443, 12.331139314928311 38.013829829118286, 12.331525695605842 38.018543673384293, 12.335003121703629 38.018620949519814, 12.335466778516672 38.013907105253807, 12.337823700649675 38.010352403020427, 12.343194392067311 38.000036038930169, 12.345527724609976 38.00000023488311, 12.345543456448544 38.000000000778492, 12.505417001593592 37.9999999974569, 12.534841471621091 38.000098248066671, 12.761196461300651 38.108075026513411, 12.87294436467973 38.002712717613143, 12.929769842210385 37.996543094338463, 13.099368595254326 38.07148207824158, 13.163269104633642 38.147338166795016, 13.564325717551094 37.962826498232253, 13.868476275493599 37.891482540196385)), ((15.284167000000076 37.034582999999962, 15.284294649972423 37.034582999999962, 15.284075741453428 37.034668130874437, 15.284167000000076 37.034582999999962)))
